question,Review,question_type,difficulty,source_file,question_id
Πόσο είναι το ποσό του κοινωνικού μερίσματος που διατίθεται για το έτος 2013;,Reject,factual,easy,doc-7610,1
Ποιος είναι ο αριθμός των θέσεων Διδακτικού Ερευνητικού Προσωπικού (Δ.Ε.Π.) που συνιστώνται για το Τμήμα Μάρκετινγκ Αγροτικών Προϊόντων στο Πανεπιστήμιο Ιωαννίνων;,Accept,factual,easy,doc-73050,50
Γιατί η Προσωρινή Γενική Συνέλευση έχει ρόλο στη διοίκηση του Τμήματος Μάρκετινγκ Αγροτικών Προϊόντων έως ότου το τμήμα λειτουργήσει αυτοδύναμα;,Reject,inferential,medium,doc-73050,51
"Ποια είναι η διαδικασία πλήρωσης κενών θέσεων Δ.Ε.Π. στο Τμήμα Μάρκετινγκ Αγροτικών Προϊόντων, και πώς διασφαλίζεται η σύνθεση του εκλεκτορικού σώματος όταν τα μέλη Δ.Ε.Π. είναι λιγότερα από έντεκα;",Accept,analytical,hard,doc-73050,52
Ποιος είναι ο αριθμός των θέσεων του κλάδου ΠΕ Μηχανικών στο Υπουργείο Μεταφορών και Επικοινωνιών;,Accept,factual,easy,doc-26912,53
"Γιατί απαιτείται η έγκριση του Υπουργού Υγείας, Πρόνοιας και Κοινωνικών Ασφαλίσεων για την αγορά και ανοικοδόμηση ακινήτων από το Ταμείο Ασφαλίσεως Προσωπικού του Νοσοκομείου «Ο Ευαγγελισμός»;",Reject,factual,medium,doc-26912,54
"Αν η Εμπορική Τράπεζα της Ελλάδος δεν ιδρύσει και δεν λειτουργήσει τις τέσσερις νέες θυρίδες συναλλαγών μέχρι 31 Δεκεμβρίου 1992, ποιες είναι οι συνέπειες σύμφωνα με την απόφαση της Τράπεζας της Ελλάδος;",Reject,factual,easy,doc-26912,55
Ποια είναι η διάρκεια φοίτησης στο Κέντρο Διπλωματικών Σπουδών για τους υποψηφίους Ακόλουθους Πρεσβείας;,Accept,factual,easy,doc-26295,56
Γιατί οι υποψήφιοι πρέπει να υποβάλουν αίτηση είκοσι (20) τουλάχιστον ημέρες πριν από την έναρξη του διαγωνισμού στο Υπουργείο Εξωτερικών;,Reject,factual,medium,doc-26295,57
Πώς καθορίζεται η σειρά επιτυχίας των υποψηφίων στο διαγωνισμό για το Κέντρο Διπλωματικών Σπουδών όταν υπάρχει ισοβαθμία μεταξύ δύο ή περισσότερων υποψηφίων;,Accept,factual,easy,doc-26295,58
Μέχρι πότε παρατείνονται τα μέτρα περί όπλων σύμφωνα με το Προεδρικό Διάταγμα 15/2016;,Reject,factual,easy,doc-74026,59
Γιατί τα μέτρα περί όπλων που επιβλήθηκαν δεν εφαρμόζονται στην υποστήριξη της Αποστολής Σταθεροποίησης του ΟΗΕ στη Λαϊκή Δημοκρατία του Κονγκό (MONUSCO);,Reject,factual,medium,doc-74026,60
"Αν η επιχείρησή μου σχεδιάζει να προμηθευτεί όπλα για χρήση σε διεθνή αποστολή σταθεροποίησης, πώς επηρεάζεται από τα μέτρα που παρατείνονται με το Προεδρικό Διάταγμα 15/2016 και ποιες εξαιρέσεις ισχύουν;",Accept,analytical,medium,doc-74026,61
Πότε αρχίζει η υποχρέωση καταβολής της μηνιαίας εισφοράς στον Κλάδο Πρόνοιας του ΤΣΑΥ;,Reject,factual,easy,doc-31195,62
Ποιος είναι ο λόγος που απαιτείται η καταβολή προκαταβολής του 1/6 του οφειλόμενου ποσού για την εξόφληση σε δόσεις των καθυστερούμενων ασφαλιστικών εισφορών στο Ταμείο Επικουρικής Ασφάλισης Εργατοτεχνιτών Δομικών και Ξυλουργικών Εργασιών;,Reject,inferential,medium,doc-31195,63
"Αν μια επιχείρηση που δραστηριοποιείται στην περιφέρεια των νομών Κυκλάδων και Σάμου έχει εκκρεμείς υποθέσεις ενώπιον του Διοικητικού Εφετείου Πειραιά πριν την έναρξη λειτουργίας της μεταβατικής έδρας στη Σύρο, πώς θα εκδικαστούν αυτές οι υποθέσεις;",Accept,factual,medium,doc-31195,64
Πότε τέθηκε σε ισχύ η συμφωνία επανεισδοχής μεταξύ Ελλάδας και Κροατίας;,Reject,factual,easy,doc-68732,65
Γιατί επιτρέπεται η παροχή εκρηκτικών προς τη Ρουάντα μόνο μετά από έγκριση της Επιτροπής του Συμβουλίου Ασφαλείας;,Reject,factual,medium,doc-68732,66
Ποια είναι η κατανομή των οργανικών θέσεων δικαστών στο Εφετείο Αθηνών και πώς αυτή η κατανομή μπορεί να επηρεάσει τη λειτουργία των διοικητικών δικαστηρίων στην πρωτεύουσα;,Accept,analytical,hard,doc-68732,67
Ποιος είναι ο αρμόδιος φορέας για τη σύσταση της Κοινοτικής Επιχείρησης Ύδρευσης και Αποχέτευσης στην Κοινότητα Κυνοπιαστών;,Accept,factual,medium,doc-27969,68
Γιατί η Διεύθυνση Οικονομικού στο Υπουργείο Εργασίας περιλαμβάνει τρία διαφορετικά τμήματα και πώς κατανέμονται οι αρμοδιότητές τους;,Reject,factual,medium,doc-27969,69
Ποια είναι η διαδικασία και οι συνέπειες αν ένας καταθέτης εκδώσει ακάλυπτες επιταγές μέσα σε διάστημα δώδεκα μηνών σε τρεχούμενο λογαριασμό όψεως;,Accept,factual,medium,doc-27969,70
Ποιο είναι το νέο όνομα του συνοικισμού Τσεσεμέ στην Κοινότητα Καταπόλων της Νάξου;,Reject,factual,easy,doc-69163,71
Γιατί απαιτείται η σύμφωνη γνώμη του Συμβουλίου Τοπωνυμιών πριν από τη μετονομασία ενός συνοικισμού;,Reject,inferential,medium,doc-69163,72
Πώς μπορεί να παυθεί η Ηγουμένη του Ιερού Γυναικείου Ησυχαστηρίου «Παναγία η Φοβερά Προστασία» και ποια είναι η διαδικασία αντικατάστασής της;,Accept,factual,hard,doc-69163,73
"Ποια είναι η έδρα του «Συμβουλίου Περιοχής 1ης Εδαφικής Περιφέρειας Νομού Τρικάλων;""",Reject,factual,easy,doc-68370,74
Γιατί στα Προεδρικά Διατάγματα ορίζεται συγκεκριμένη έδρα για κάθε «Συμβούλιο Περιοχής» και πώς αυτό επηρεάζει τη διοικητική λειτουργία τους;,Reject,analytical,medium,doc-68370,75
"Αν είμαι επιχειρηματίας που δραστηριοποιείται στην Κοινότητα Μεσοχώρας του Νομού Τρικάλων, σε ποιο «Συμβούλιο Περιοχής» ανήκω και ποια είναι η έδρα του, ώστε να γνωρίζω σε ποια διοικητική αρχή πρέπει να απευθυνθώ;",Accept,factual,easy,doc-68370,76
Πότε αρχίζει να ισχύει το Προεδρικό Διάταγμα για την ίδρυση του Λιμενικού Σταθμού στον Κόκκινο Πύργο Τυμπακίου;,Reject,factual,easy,doc-71945,77
Γιατί οι δαπάνες λειτουργίας των νέων Λιμενικών Σταθμών βαρύνουν τον κρατικό προϋπολογισμό και πώς καλύπτονται αυτές οι δαπάνες;,Accept,analytical,medium,doc-71945,78
"Αν η Λιμενική Αρχή Ηρακλείου δεν καταβάλει τις δαπάνες λειτουργίας του Λιμενικού Σταθμού Καστρίου, ποια είναι η διοικητική και οικονομική εξάρτηση του σταθμού και ποιες συνέπειες μπορεί να προκύψουν από αυτή την παράλειψη;",Accept,inferential,hard,doc-71945,79
Ποια είναι η ημερομηνία ίδρυσης του Άμισθου Προξενείου της Ελλάδος στην Τασκένδη του Ουζμπεκιστάν;,Accept,factual,easy,doc-69128,80
"Γιατί το δάνειο που χορηγεί η Αγροτική Τράπεζα στο Ελληνικό Δημόσιο επιβαρύνεται με κυμαινόμενο επιτόκιο LIBOR προσαυξημένο κατά 2,225%;",Reject,analytical,medium,doc-69128,81
Τι συνέπειες προβλέπονται αν το Ελληνικό Δημόσιο καθυστερήσει την καταβολή των τόκων του κοινοπρακτικού δανείου πέραν των 10 ημερών σύμφωνα με τη σύμβαση χρηματοδότησης της ΔΙΔΑΓΕΠ;,Accept,factual,medium,doc-69128,82
Ποιος διορίστηκε Πρωθυπουργός της Ελλάδας με το Προεδρικό Διάταγμα αριθ. 120;,Reject,factual,easy,doc-71828,83
Γιατί ο Πρωθυπουργός προτείνει τους Υπουργούς και Υφυπουργούς πριν τον διορισμό τους από τον Πρόεδρο της Δημοκρατίας;,Reject,inferential,medium,doc-71828,84
"Αν ο Πρωθυπουργός αλλάξει Υπουργό Οικονομίας και Οικονομικών μετά τις 10 Μαρτίου 2004, ποια διαδικασία πρέπει να ακολουθηθεί για τον νέο διορισμό σύμφωνα με τα διατάγματα;",Reject,analytical,hard,doc-71828,85
Ποιος είναι ο σκοπός του Δημοτικού Ιδρύματος «Δημοτικό Γηροκομείο Καρυάς»;,Accept,factual,easy,doc-71207,86
Γιατί η εφαρμογή της μεταφοράς αρμοδιοτήτων του Λιμενικού Ταμείου Αίγινας στο Δήμο Αίγινας αρχίζει από το διορισμό των μελών του Διοικητικού Συμβουλίου του νέου Δημοτικού Λιμενικού Ταμείου;,Reject,inferential,medium,doc-71207,87
Ποιες είναι οι οικονομικές επιπτώσεις για τον Δήμο Καρυάς από τη σύσταση του Δημοτικού Ιδρύματος «Δημοτικό Γηροκομείο Καρυάς» και πώς προβλέπεται να καλυφθούν τα έξοδα λειτουργίας του;,Accept,factual,medium,doc-71207,88
Πόσα μέλη έχει το Διοικητικό Συμβούλιο της Δημοτικής Επιχείρησης Ύδρευσης και Αποχέτευσης Αλεξάνδρειας και ποια είναι η σύνθεσή του;,Accept,factual,easy,doc-68927,89
Γιατί προστίθεται εκπρόσωπος των εργαζομένων στο Διοικητικό Συμβούλιο όταν η επιχείρηση απασχολεί περισσότερους από είκοσι εργαζομένους;,Reject,factual,medium,doc-68927,90
"Σε περίπτωση που ένα επιβατηγό πλοίο εκτελεί πλόες εσωτερικού και έχει λιγότερα ειδικευμένα και εκπαιδευμένα άτομα από τον απαιτούμενο αριθμό για το χειρισμό όλων των σωστικών μέσων, τι προβλέπεται να γίνει με τον αριθμό των επιβαινόντων;",Accept,factual,medium,doc-68927,91
Ποια είναι η ημερομηνία έναρξης ισχύος του Προεδρικού Διατάγματος 251 σχετικά με το Ταμείο Αρωγής Μονίμων Πολιτικών Υπαλλήλων του Υπουργείου Εθνικής Αμύνης;,Reject,factual,easy,doc-27748,92
Γιατί η Υπηρεσία Πολιτικής Αεροπορίας μπορεί να εγκρίνει παρεκκλίσεις για την χρήση υποηχητικών αεριωθουμένων αεροπλάνων που δεν πληρούν τις προϋποθέσεις του άρθρου 2 του Π.Δ. 252 και υπό ποιες προϋποθέσεις δίνονται αυτές οι εξαιρέσεις;,Reject,factual,medium,doc-27748,93
"Αν μια αεροπορική εταιρεία έχει παραγγείλει εξοπλισμό για την μετατροπή υποηχητικού αεριωθουμένου αεροπλάνου πριν την 1η Απριλίου 1994, αλλά η παράδοση καθυστερεί, ποια είναι η μέγιστη χρονική περίοδος εξαίρεσης που μπορεί να εγκριθεί από την ΥΠΑ σύμφωνα με το Π.Δ. 252 και ποιοι είναι οι περιορισμοί στον ρυθμό διαγραφής τέτοιων αεροπλάνων από τα ελληνικά μητρώα;",Reject,factual,medium,doc-27748,94
Ποιος φορέας είναι υπεύθυνος για την εποπτεία της αγοράς βιομηχανικών προϊόντων στην Ελλάδα;,Accept,factual,easy,doc-7693,95
Γιατί η «Επενδύστε στην Ελλάδα Α.Ε.» πρέπει να λαμβάνει εγγυητική επιστολή συμμετοχής από τον επενδυτή κατά την ένταξη σε στρατηγική επένδυση και ποιος είναι ο σκοπός της;,Reject,factual,medium,doc-7693,96
"Αν μια επιχείρηση που έχει ήδη ξεκινήσει διαδικασίες αδειοδότησης για μια επένδυση άνω των δύο εκατομμυρίων ευρώ υποβάλει αίτηση ένταξης στη Διαδικασία Στρατηγικών Επενδύσεων μετά την 1η Ιανουαρίου 2016, ποια είναι η νομική συνέπεια σύμφωνα με τον νόμο;",Reject,factual,medium,doc-7693,97
Ποιος είναι ο αρμόδιος φορέας για την έκδοση των Γενικών Κανονισμών Λιμένων;,Accept,factual,easy,doc-14279,98
Γιατί οι επιθεωρητές Κράτους Λιμένα πρέπει να έχουν καλή γνώση της αγγλικής γλώσσας και να παρακολουθούν σεμινάρια του EMSA;,Reject,analytical,medium,doc-14279,99
"Πώς επηρεάζει η έλλειψη πιστώσεων τη διαδικασία τοποθέτησης και μετάθεσης στελεχών του Λιμενικού Σώματος, και ποια κριτήρια λαμβάνονται υπόψη σε περίπτωση περιορισμένων πόρων;",Accept,analytical,hard,doc-14279,100
Ποιο είναι το ελάχιστο ποσό συναλλαγής που απαιτεί εξακρίβωση ταυτότητας από πιστωτικά ιδρύματα σύμφωνα με το νόμο;,Accept,factual,easy,doc-13648,101
Γιατί τα πιστωτικά ιδρύματα και οι χρηματοπιστωτικοί οργανισμοί οφείλουν να ορίζουν διευθυντικό στέλεχος για την αναφορά ύποπτων συναλλαγών νομιμοποίησης εσόδων από εγκληματικές δραστηριότητες;,Reject,inferential,medium,doc-13648,102
"Πώς αντιμετωπίζεται νομικά η περίπτωση όπου ένας τρίτος απέκτησε περιουσία από καταδικασμένο για εγκληματική δραστηριότητα, αν ο τρίτος γνώριζε την ποινική δίωξη κατά του καταδικασμένου κατά το χρόνο της κτήσης;",Accept,factual,medium,doc-13648,103
Ποιος είναι ο ανώτατος επιτρεπτός αριθμός ετών ηλικίας για την κατάταξη πτυχιούχων Α.Ε.Ι. ως Δοκίμων Ανθυποπυραγών στο Πυροσβεστικό Σώμα;,Accept,factual,easy,doc-68410,104
"Γιατί επιτρέπεται η αλληλοσυμπλήρωση των θέσεων μεταξύ ανδρών και γυναικών υποψηφίων στην κατάταξη Δοκίμων Ανθυποπυραγών, όταν δεν καλύπτεται ο αριθμός των προκηρυσσομένων θέσεων από το ένα φύλο;",Accept,inferential,medium,doc-68410,105
"Εάν ένας αθλητής μέλος της εθνικής ομάδας, ηλικίας 29 ετών, επιθυμεί να καταταγεί στο Πυροσβεστικό Σώμα, ποια είναι τα όρια ηλικίας και οι προϋποθέσεις που πρέπει να πληροί και πώς επηρεάζει η εκπλήρωση ή μη των στρατιωτικών του υποχρεώσεων την κατάταξή του;",Accept,factual,medium,doc-68410,106
Ποιος είναι ο αρμόδιος φορέας για την έκδοση της άδειας λειτουργίας ιδιωτικών κλινικών στην Ελλάδα;,Accept,factual,medium,doc-3188,107
Γιατί η Επιτροπή Προδιαγραφών πρέπει να καθορίζει ενιαίες τεχνικές προδιαγραφές και πρότυπα για τα ιατροτεχνολογικά προϊόντα και τις υπηρεσίες υγείας;,Reject,analytical,medium,doc-3188,108
"Αν μια ιδιωτική κλινική με 60 κλίνες επιθυμεί να επεκταθεί κατά 30%, ποιο είναι το μέγιστο ποσοστό επέκτασης που μπορεί να ζητήσει χωρίς να χρειαστεί να ακολουθήσει τις αυστηρότερες προϋποθέσεις του π.δ. 517/1991;",Reject,factual,easy,doc-3188,109
Ποιος είναι ο πρόεδρος του Διοικητικού Συμβουλίου του Ιδρύματος «Παμμακάριστος» και ποιος τον αναπληρώνει σε περίπτωση κωλύματος;,Reject,factual,medium,doc-70561,110
"Γιατί το Διοικητικό Συμβούλιο του Εθνικού Οργανισμού Μεταμοσχεύσεων πρέπει να έχει απαρτία με παρουσία τουλάχιστον έξι μελών, μεταξύ των οποίων ο Πρόεδρος ή ο αναπληρωτής του, για να λαμβάνει έγκυρες αποφάσεις;",Accept,analytical,medium,doc-70561,111
"Αν ένας υπάλληλος του Εθνικού Οργανισμού Μεταμοσχεύσεων απουσιάζει αδικαιολόγητα επανειλημμένα και παραβιάζει το κανονικό ωράριο εργασίας, ποια πειθαρχικά μέτρα μπορούν να του επιβληθούν και ποια είναι η διαδικασία επιβολής τους;",Accept,factual,hard,doc-70561,112
